student_id,name,year_of_study,program
203,Justin Harris,2022,MSc Hematology
204,Stephanie Phillips,2022,MSc Hematology
205,Gina Anderson,2024,BMLS
206,Kayla Walker,2024,MD
207,Victoria Johnson,2023,BMLS
208,Justin Roberts,2022,BMLS
209,Helen Payne,2022,MSc Hematology
210,Rachel Mooney,2024,MSc Hematology
211,Tara Scott,2021,MD
212,Justin Schneider,2021,MD
213,Justin Medina,2023,BMLS
214,Dawn Paul,2022,BMLS
215,Ryan Jackson,2023,BMLS
216,Matthew Martin,2024,MD
217,Hector Hill,2024,MSc Hematology
218,Nicole Garcia,2021,MD
219,Robin Harris,2023,MSc Hematology
220,Jessica Brown,2023,MD
221,Kelly Chapman,2022,MSc Hematology
222,Vanessa Harper,2023,MD
223,Michael Meyer,2022,BMLS
224,Kathleen Huber,2021,BMLS
225,Brenda Day,2022,MD
226,Christopher Clark,2022,MSc Hematology
227,Kimberly Anderson,2023,BMLS
228,Amanda Carter,2021,MD
229,Jacob Bridges,2023,MSc Hematology
230,Carmen Perkins,2023,MSc Hematology
231,Diana Murphy,2022,MD
232,Benjamin Saunders,2024,BMLS
233,Jared Townsend,2022,BMLS
234,Nicholas Bates,2022,MD
235,Michael Hernandez,2021,BMLS
236,Amanda Martin,2024,MD
237,Justin Beck,2021,MD
238,Maria Rowland,2024,MSc Hematology
239,Christopher Baker,2024,MD
240,Jennifer Allen,2024,MSc Hematology
241,Shannon Bowen,2021,MSc Hematology
242,Alison Wells,2021,MSc Hematology
243,Dawn Wood,2023,BMLS
244,Ashley Garrett,2024,MSc Hematology
245,Maria Hill,2021,BMLS
246,Devin Moses,2024,MSc Hematology
247,Robin Alvarado,2023,MD
248,John Campos,2023,MD
249,Caroline Wade,2021,MD
250,Donald Clark,2022,BMLS
251,Patricia Grant,2024,MSc Hematology
252,Melissa Jones,2021,MSc Hematology
253,Michelle Jimenez,2021,MD
254,Jason Johnson,2021,MSc Hematology
255,Alison Lewis,2023,MD
256,Michelle Jensen,2021,BMLS
257,Debbie Burnett,2024,BMLS
258,Lee Clarke,2024,BMLS
259,Matthew Owens,2024,MD
260,Tamara Pollard,2023,BMLS
261,Regina Chen,2021,BMLS
262,Alexander Spence,2024,BMLS
263,Katherine White,2021,MD
264,Michele Collins,2021,MSc Hematology
265,Tammy Gibbs,2021,BMLS
266,Sherry Patton DVM,2022,MD
267,Adam Hernandez,2022,BMLS
268,Lori Everett,2023,MSc Hematology
269,Jennifer Smith,2024,BMLS
270,Lori Brown,2024,BMLS
271,Garrett Silva,2022,BMLS
272,Nicole Fox,2024,BMLS
273,Stephanie Arnold,2022,MSc Hematology
274,Nicole Good,2022,BMLS
275,Daniel Allen,2022,MD
276,David Brown,2022,MSc Hematology
277,Brianna Klein,2022,MD
278,Abigail Sawyer,2022,MD
279,Dylan Norton,2023,MD
280,Dr. Larry Mcdonald,2021,MSc Hematology
281,Amy Johnson,2023,MSc Hematology
282,Jessica Kennedy,2024,MSc Hematology
283,Brent Hall,2023,BMLS
284,Mark Patterson,2024,MSc Hematology
285,Candace Henderson,2024,MD
286,Robert Scott,2024,BMLS
287,Thomas Lloyd,2023,BMLS
288,Michelle Crawford,2021,BMLS
289,Nichole Rice,2024,BMLS
290,James Koch,2024,MSc Hematology
291,Allison Cummings,2021,MSc Hematology
292,Valerie Mcclain,2024,MSc Hematology
293,Heidi Bennett,2024,MD
294,Derek Holmes,2021,MSc Hematology
295,Gregory Collier,2024,BMLS
296,Elizabeth Ramirez,2024,MD
297,John Hensley,2024,MD
298,Dan Pennington,2023,BMLS
299,Stacey Johnson,2022,MD
300,Mrs. Margaret Delacruz,2023,MSc Hematology
301,Derrick Ponce,2024,BMLS
302,Ricky Carter,2024,MSc Hematology
303,Michelle Williams,2024,MSc Hematology
304,Kenneth Pacheco,2024,MD
305,Todd Aguirre,2021,BMLS
306,Jason Allen,2023,BMLS
307,Kelly Macias,2024,BMLS
308,Mr. David Davis Jr.,2023,MSc Hematology
309,Mr. Andrew Werner,2021,MD
310,Antonio Rodriguez,2021,MSc Hematology
311,Taylor Ward,2022,BMLS
312,James Ward,2024,MD
313,Andrea Pena,2023,MD
314,Patricia Whitaker,2021,BMLS
315,Edgar Oliver,2024,BMLS
316,Sean Blanchard,2024,MD
317,Misty Mendez,2021,BMLS
318,Hunter Hayes,2023,MSc Hematology
319,Daniel Thomas,2022,BMLS
320,Anna Wade,2021,MD
321,Edward Jones,2022,MSc Hematology
322,Brian Hall,2024,MSc Hematology
323,Melinda Rodriguez,2021,MD
324,Joseph Nelson,2024,MSc Hematology
325,Mark Ferguson,2022,MD
326,Peter Robinson,2024,BMLS
327,Michelle Young,2023,BMLS
328,Mr. Timothy Stewart,2024,MD
329,Elizabeth Rivera,2023,MD
330,Michael Martinez,2022,MSc Hematology
331,Victoria Johnson,2023,MSc Hematology
332,Teresa Ramirez,2024,BMLS
333,Patrick Hunter,2024,MSc Hematology
334,Dalton Kerr,2021,MD
335,Sarah Madden,2021,MD
336,Monica Stokes,2024,MSc Hematology
337,Michelle Martinez,2022,MSc Hematology
338,Kathleen Bishop,2023,MSc Hematology
339,Michelle Miller,2022,BMLS
340,Nicole Scott,2021,BMLS
341,Angela White,2021,BMLS
342,Joseph Montes,2023,MSc Hematology
343,Samantha Morris,2022,BMLS
344,Laura Parks,2021,BMLS
345,Eric Martinez,2021,MD
346,Kim Singh,2021,MSc Hematology
347,Dominic Reyes DVM,2022,MSc Hematology
348,Matthew Moses,2021,BMLS
349,Jeffrey Anderson,2023,MSc Hematology
350,Kristy Howard,2024,BMLS
351,Robert Brown,2022,MSc Hematology
352,Ashlee Diaz,2024,MD
353,Christopher Campbell,2024,MSc Hematology
354,Misty Mendez,2021,MD
355,Tara Pace,2024,BMLS
356,Sean White,2022,MD
357,Janet Perez,2024,MSc Hematology
358,Yolanda Buchanan DVM,2023,MSc Hematology
359,Susan Brown,2024,MD
360,Sean Juarez,2021,BMLS
361,Lindsey Rocha,2024,BMLS
362,Phillip Olson,2021,BMLS
363,Stephanie Harmon,2021,BMLS
364,Jessica Lee,2024,MD
365,Robert Pierce,2023,MD
366,Kendra Woods,2021,BMLS
367,Jody Hall,2021,BMLS
368,Larry Thompson,2023,MSc Hematology
369,Andrew Thomas,2023,MD
370,Isaac Short,2021,MD
371,Stephanie Ball,2022,MSc Hematology
372,Kayla West,2021,MD
373,Ryan Pierce,2023,MD
374,Jessica Contreras,2023,BMLS
375,John Robles,2023,MSc Hematology
376,Darren Castillo,2023,MSc Hematology
377,Miss Lorraine Thomas,2024,MSc Hematology
378,Sylvia Smith,2022,MD
379,Jessica Reeves,2021,BMLS
380,Kirk Taylor,2024,BMLS
381,Amber Parker,2024,BMLS
382,John King,2022,BMLS
383,Melissa Hayden,2021,MD
384,Lauren Peterson,2024,MSc Hematology
385,Robert Macdonald,2023,MD
386,Janice Graves,2022,BMLS
387,Kelly West,2022,BMLS
388,Melissa Wilson,2023,MD
389,Bryan Fleming,2024,MD
390,Lisa Cervantes,2021,MD
391,Anthony Acosta,2023,MSc Hematology
392,Lori Wolf,2022,MD
393,Jennifer Vargas,2023,MD
394,Thomas Martin,2023,MD
395,Randy Morales,2021,MD
396,Clayton Alvarado,2023,MSc Hematology
397,Tracy Jones,2023,MSc Hematology
398,Kevin Williams,2023,BMLS
399,Rachel Johnson,2024,MSc Hematology
400,Carrie Campbell,2021,BMLS
401,John Torres,2023,BMLS
402,Daniel Phillips,2023,MSc Hematology
403,Derek Woodard,2024,MSc Hematology
404,Frances Valencia,2023,MD
405,William Cook,2022,BMLS
406,Isaac Carpenter,2021,BMLS
407,Benjamin Jones,2024,BMLS
408,Sherri Johnson,2024,MD
409,Lawrence Taylor,2023,BMLS
410,Johnny Morgan,2021,BMLS
411,Jeremy Campos,2024,MSc Hematology
412,Thomas Martinez,2022,BMLS
413,Angela Logan,2021,BMLS
414,Joshua Dougherty,2022,MD
415,David Singleton,2023,BMLS
416,Madeline Meza,2024,MSc Hematology
417,Elizabeth Roberts,2024,MD
418,Brandon Lambert,2023,MD
419,Raymond Kim,2021,BMLS
420,Virginia Morales,2023,BMLS
421,Donald Norton,2024,BMLS
422,Luis Page,2024,MD
423,Jeffrey Park,2021,MD
424,Jessica Harper,2023,MSc Hematology
425,Thomas Fields,2022,BMLS
426,Devin Solis,2022,MSc Hematology
427,Toni Bailey MD,2023,MD
428,Gregory Bradford,2024,MD
429,Madeline Gray,2023,MD
430,Kristen Harris,2023,BMLS
431,Carrie Owens,2023,MD
432,Zachary Shepherd,2024,MD
433,Rebekah Rios,2024,MSc Hematology
434,Jasmine Brown,2024,MD
435,John Pennington,2022,MSc Hematology
436,Veronica Acevedo,2022,MD
437,Shelly Myers,2021,BMLS
438,John Smith,2022,MD
439,Jennifer Smith,2023,BMLS
440,Kelsey Sheppard,2022,MSc Hematology
441,Joanne Rodriguez,2021,MD
442,Colleen Smith DVM,2021,MD
443,Jennifer Gonzalez,2024,BMLS
444,Elizabeth Foley,2021,MD
445,Ashley Ward,2022,MSc Hematology
446,Daniel Reid,2021,MSc Hematology
447,Elizabeth Hanson,2024,BMLS
448,Marco Smith,2021,MSc Hematology
449,Troy Hill,2021,MSc Hematology
450,Jill Freeman,2024,MD
451,Jennifer Lewis,2021,MSc Hematology
452,Jacob Booth,2024,MD
453,Sean Booth,2021,BMLS
454,Timothy Thomas,2024,MD
455,Joshua Frey,2024,MSc Hematology
456,Ryan Sanchez,2022,BMLS
457,Dennis Golden,2024,BMLS
458,Benjamin Jackson,2023,BMLS
459,Michael Boyer,2021,BMLS
460,William Young,2023,MSc Hematology
461,Jeffrey Long,2021,MSc Hematology
462,James Wagner,2021,MD
463,Anne Daniels,2022,MD
464,Samantha Davis,2023,MD
465,Kelly Guerrero,2024,MD
466,Mark Alvarez,2023,MSc Hematology
467,Bryan Williams,2024,MD
468,Noah Lewis,2021,MSc Hematology
469,Samantha Morales,2022,BMLS
470,Justin Delgado,2023,BMLS
471,Robert Carlson,2021,MSc Hematology
472,Christopher Rios,2023,MD
473,Mary Stafford,2024,MD
474,Robert Carter,2021,BMLS
475,Patrick Mcintosh,2022,BMLS
476,Lisa Harris,2021,BMLS
477,Bobby Hart,2022,MD
478,Robert Tran,2024,MD
479,Jeffrey Lindsey,2023,MSc Hematology
480,Jason Morgan,2024,BMLS
481,Nancy Carter,2021,MD
482,Robert Russell,2022,MSc Hematology
483,Lindsay Lamb,2022,BMLS
484,Nathan Levy,2024,MSc Hematology
485,Laura Gibson,2022,MD
486,William Mccarty,2023,BMLS
487,Samantha Bell,2021,MSc Hematology
488,Alexandra Black,2024,BMLS
489,James Moreno,2024,BMLS
490,Michael Torres,2021,BMLS
491,Chad Woods,2024,MD
492,Heather Rice,2022,BMLS
493,Erin Johnson,2021,MD
494,Christopher Juarez,2024,BMLS
495,Emily Nelson,2024,MSc Hematology
496,Douglas Woods,2022,MSc Hematology
497,Carlos Booker,2024,BMLS
498,Jeff Brown,2023,MSc Hematology
499,Jeffrey Lutz,2021,MD
500,Joel Ochoa,2022,BMLS
501,Jennifer Peterson,2022,BMLS
502,Sharon Brown,2023,BMLS
503,Kelly Wilkerson,2021,MD
504,Kimberly Horton,2022,MD
505,Brandon Hill,2022,MD
506,Michelle Holden,2024,BMLS
507,Justin Little,2021,MD
508,Pamela Friedman,2023,MSc Hematology
509,David Garner,2022,BMLS
510,Michael Gordon,2023,BMLS
511,Lucas Smith,2023,MD
512,Nicole Mcgee,2024,MSc Hematology
513,Laura Thompson,2022,BMLS
514,Larry Cook,2021,MD
515,Jaime Watson,2024,BMLS
516,Daniel Hebert,2022,MD
517,Kenneth Ruiz,2021,BMLS
518,Lacey Zimmerman,2023,MSc Hematology
519,Travis Hernandez,2023,MSc Hematology
520,Kari Lewis,2023,MD
521,Jason Hill,2023,MD
522,Heather Richards,2022,MSc Hematology
523,Julia Chang,2021,MD
524,Melissa Olsen,2023,MD
525,Christopher Bates,2022,BMLS
526,Robert Bennett DVM,2023,MSc Hematology
527,Javier Parker,2021,MSc Hematology
528,Crystal Cabrera,2023,MD
529,Diana Williams,2023,BMLS
530,Sarah Shaw,2022,MD
531,Robert Gonzales,2024,MSc Hematology
532,Sarah Wise,2023,MD
533,Jason Wood,2022,BMLS
534,Tony Davies,2021,MD
535,David Dunlap,2021,MD
536,Eric Hicks,2022,MSc Hematology
537,Dennis Benton,2024,BMLS
538,David Morris,2022,MSc Hematology
539,Joseph Morris,2021,MSc Hematology
540,Cynthia Brown,2023,BMLS
541,Ryan Giles,2023,MD
542,Shannon Hughes,2024,BMLS
543,Mr. Matthew Harrison DDS,2021,BMLS
544,Ann Robertson,2021,MD
545,Clayton Evans,2024,MSc Hematology
546,John Green,2022,BMLS
547,Dana Everett,2023,MSc Hematology
548,Megan Hill,2021,MSc Hematology
549,Dr. Steven Cooper,2022,MD
550,Gregory Hogan,2021,MSc Hematology
551,Madison Macdonald,2021,BMLS
552,Mr. Angel Miller,2021,MD
553,Miguel George,2023,BMLS
554,Donna Chen,2023,BMLS
555,Kristen Pacheco,2024,MD
556,Kristy Mccarthy,2022,MD
557,Katrina Cruz,2022,BMLS
558,Sharon Galvan,2023,BMLS
559,Brian Walker,2024,MD
560,Madison Hamilton,2024,MSc Hematology
561,Jordan Bautista,2022,MD
562,Casey Tucker,2021,BMLS
563,Phyllis Mckinney,2021,MSc Hematology
564,Garrett Perry,2021,MSc Hematology
565,Cindy Moore,2021,MSc Hematology
566,Jillian Wu,2021,MSc Hematology
567,James Rodriguez,2021,MSc Hematology
568,Amanda Michael,2024,MSc Hematology
569,Elizabeth Cook,2022,MSc Hematology
570,Raymond Luna,2022,BMLS
571,Diana Bennett,2022,MSc Hematology
572,Michelle Vega,2023,MSc Hematology
573,Anthony Waters,2024,BMLS
574,Brittany Marquez,2022,BMLS
575,Jessica Gilbert,2023,MD
576,Eric Shaffer,2021,MD
577,Donald Smith,2023,MSc Hematology
578,Cynthia Short,2023,MSc Hematology
579,Robert Zhang,2023,MD
580,Jade Gregory,2024,BMLS
581,Elizabeth Bass,2022,BMLS
582,Rhonda Ponce,2023,MD
583,Laura Gray,2023,MD
584,Kenneth Schneider,2021,MSc Hematology
585,Mary Vazquez,2021,MSc Hematology
586,Jeffrey Hogan,2024,MD
587,Madison Hurley,2023,MSc Hematology
588,Colleen Henderson,2021,BMLS
589,John Lewis,2024,MSc Hematology
590,Elizabeth Durham,2021,MSc Hematology
591,Douglas Garcia,2023,BMLS
592,Dawn Bishop,2021,MD
593,Amanda Velez,2023,MSc Hematology
594,Denise Alvarez,2024,MSc Hematology
595,Victoria Adkins,2021,BMLS
596,Jeanette Valenzuela,2023,MD
597,Lisa Washington,2023,BMLS
598,Alexis Martin,2024,MSc Hematology
599,Tamara Harris,2021,MD
600,Nicole Lopez,2023,MD
601,Scott Schwartz,2022,BMLS
602,Gina Wall,2023,MSc Hematology
603,James Deleon,2023,MD
604,Elizabeth Hall,2023,BMLS
605,Curtis Beck,2023,MSc Hematology
606,Dawn Carson,2023,BMLS
607,Matthew Powell,2022,MSc Hematology
608,David Graham DDS,2021,BMLS
609,Joshua Garcia,2021,BMLS
610,James Yates,2024,MD
611,Andrew Jennings,2024,MSc Hematology
612,Antonio Jones,2021,MSc Hematology
613,Laura Bautista,2024,MSc Hematology
614,Hayden Jackson,2021,MSc Hematology
615,John Crawford,2023,MD
616,Cynthia Young,2023,BMLS
617,Patricia Rios,2022,BMLS
618,Erica Lozano,2021,BMLS
619,Christine Marshall,2022,MSc Hematology
620,Thomas James,2024,MD
621,Jose Haynes,2021,BMLS
622,Sandra Morales,2021,MD
623,Brittany Marsh,2023,MD
624,David Dunlap,2022,BMLS
625,Nancy Becker,2023,MD
626,Kayla Cantu,2023,MSc Hematology
627,Jesse Bradley,2023,MSc Hematology
628,Brian Estrada,2022,MSc Hematology
629,Carlos Dickerson,2021,MD
630,Linda Luna,2024,MD
631,Melissa Hunter,2022,MD
632,Vanessa Miller,2024,BMLS
633,Melissa Hahn,2023,BMLS
634,Emily Hubbard,2021,BMLS
635,Justin Swanson,2021,MSc Hematology
636,Tyler Dixon,2022,BMLS
637,Connie Sanchez,2022,MD
638,William Bush,2024,BMLS
639,Robyn Maxwell,2022,BMLS
640,Lacey Rollins,2023,BMLS
641,Matthew Johnson,2023,BMLS
642,Emily Romero,2023,MSc Hematology
643,David Williams,2021,MD
644,Cynthia Mcclure,2023,MSc Hematology
645,Jessica Scott,2024,MSc Hematology
646,Christina Curtis,2022,MD
647,Courtney Thompson,2021,MSc Hematology
648,Robert Brown,2023,MD
649,Megan Smith,2023,BMLS
650,Rodney Smith,2021,BMLS
651,Albert Anderson,2022,BMLS
652,Lauren Pitts,2022,BMLS
653,Julian Thomas,2022,MSc Hematology
654,Sherri Bond,2022,MSc Hematology
655,Ana Murillo,2023,MSc Hematology
656,Chad Thompson,2023,MSc Hematology
657,Michael Gordon,2021,MD
658,Cathy Williams,2022,MD
659,Michael Jensen,2022,MSc Hematology
660,Tanya Johnson,2024,MD
661,Darren Haynes PhD,2024,MD
662,Mark Watts,2021,MD
663,Brenda Ford,2021,MSc Hematology
664,Derrick Norris,2024,MD
665,David Morrow,2021,BMLS
666,Jason Washington,2021,MD
667,Daniel Hernandez,2023,MSc Hematology
668,Justin Ferguson,2023,BMLS
669,Andrew Moore,2022,BMLS
670,Angela Knight,2023,MSc Hematology
671,Cody Collins,2022,MSc Hematology
672,Michelle Campbell,2022,MD
673,Bryan Green,2021,BMLS
674,Julie Johnson,2021,MD
675,John Fuentes,2022,MD
676,Walter Cox,2024,BMLS
677,Matthew Wheeler,2021,MSc Hematology
678,Debra Lowe,2023,BMLS
679,Jamie Thompson,2024,MSc Hematology
680,Brittany Cochran,2024,MD
681,Darlene Scott,2024,BMLS
682,Richard Maldonado,2024,BMLS
683,Jonathan Kirby,2024,MD
684,Lori Dickerson,2023,BMLS
685,Tina Keller,2022,MD
686,Lance Santos III,2023,MSc Hematology
687,Cathy Black,2021,MD
688,Jennifer Martin,2023,MD
689,Maria Key,2024,MSc Hematology
690,Ellen West,2024,BMLS
691,Tiffany Brown,2022,BMLS
692,Karen Burns,2022,MSc Hematology
693,Alexander Simon,2024,MD
694,Pamela Leon,2022,MD
695,Jeffrey Moore,2024,MD
696,Curtis Butler,2021,MD
697,Vincent Vega,2024,BMLS
698,Leslie Stokes,2023,BMLS
699,Andrea Brown,2024,MSc Hematology
700,Kenneth Torres DDS,2023,BMLS
701,Dustin Lambert,2023,MD
702,Robert Flowers,2022,MSc Hematology
703,Stacey Young,2023,MSc Hematology
704,James Harris,2022,MD
705,Jeff Glass,2023,MD
706,Michael Olsen,2022,MSc Hematology
707,Justin Mitchell,2022,MSc Hematology
708,Darren Lynch,2021,MD
709,Daisy Cruz,2024,BMLS
710,Edwin Cox,2021,BMLS
711,Stephanie Martin,2022,BMLS
712,Aaron Anderson,2023,MD
713,Faith Cook,2021,BMLS
714,Austin Sharp,2024,MD
715,John Li,2022,MSc Hematology
716,Nicole Hogan,2024,MSc Hematology
717,Anthony Turner,2023,BMLS
718,Phillip Lin,2022,MSc Hematology
719,Bradley Smith,2024,MSc Hematology
720,Jennifer Zimmerman,2022,BMLS
721,Eric Davis,2023,MSc Hematology
722,Sierra Knight,2024,BMLS
723,Andrew Walker,2022,MSc Hematology
724,Mrs. Kimberly Phillips,2023,BMLS
725,Shawn Carroll,2023,BMLS
726,James Nash,2024,BMLS
727,Kevin Hamilton,2021,BMLS
728,Melissa Brock,2022,MSc Hematology
729,David Lloyd,2021,MD
730,Kathy Webster,2024,MD
731,Lynn Martin,2021,BMLS
732,William Kelley,2024,MD
733,William Gonzalez,2022,MD
734,Stephanie Walker,2021,MD
735,Daniel Cherry MD,2023,MSc Hematology
736,Daniel Scott,2023,BMLS
737,Latasha Stewart,2021,MSc Hematology
738,Justin Cordova,2023,BMLS
739,Catherine Moore,2022,MD
740,Kristy Russell,2022,MSc Hematology
741,Renee Welch,2023,BMLS
742,Ryan Kelly,2023,MD
743,Ruth Stanley,2023,BMLS
744,Ryan Dorsey,2024,MD
745,Erik Jacobs,2023,MD
746,Anna Atkinson,2022,BMLS
747,Kurt Daniels,2024,BMLS
748,Daniel Aguilar,2022,MD
749,Scott Hernandez II,2023,BMLS
